Community Health|Public Health|Central Administration|Operating Transfers In,25000000
Community Health|Public Health|Central Administration|Operating Transfers In|Other Operating Transfers In (Oti),25000000
Community Health|Public Health|Central Administration|Operating Transfers In|Other Operating Transfers In (Oti)|OTI Fr 5H-General Hospital Fund,23000000
Community Health|Public Health|Central Administration|Operating Transfers In|Other Operating Transfers In (Oti)|OTI Fr 5L-Laguna Honda Hospital Funds,2000000
Community Health|Public Health|Central Administration|Rents & Concessions,26040
Community Health|Public Health|Central Administration|Rents & Concessions|Parking Garage/Lot Rentals,26040
Community Health|Public Health|Central Administration|Rents & Concessions|Parking Garage/Lot Rentals|Employee Parking,26040
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources,-1128463
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-1128463
Community Health|Public Health|Central Administration|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-1128463
Community Health|Public Health|Children's Baseline,0
Community Health|Public Health|Children's Baseline|Expenditure Recovery,15968015
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds,15861191
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Adult Probation (AAO),295612
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Child,Youth & Fam (AAO),7077317
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Children and Families (AAO),1049945
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),7328067
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Juvenile Court (AAO),110250
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds,106824
Community Health|Public Health|Children's Baseline|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds|Exp Rec Fr County Ed(Non-AAO),106824
Community Health|Public Health|Children's Baseline|Transfer Adjustments-Sources,-15968015
Community Health|Public Health|Children's Baseline|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-15968015
Community Health|Public Health|Children's Baseline|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-15968015
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth,21636258
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services,112087
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Net Patient Revenue,10000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Net Patient Revenue|Patient Payments-O/P Gross Charges,10000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Outpatient Revenues,95587
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Outpatient Revenues|Child Health & Disability Prevention,10000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Outpatient Revenues|Medi-Cal CCS Therapy Unit,50000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Outpatient Revenues|Medi-Cal O/P Gross Charges,35587
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Public Health Charges,6500
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Charges for Services|Public Health Charges|Crippled Children Care,6500
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Expenditure Recovery,3500487
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Expenditure Recovery|Recovery for Svcs to AAO Funds,3500487
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Child,Youth & Fam (AAO),250000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Children and Families (AAO),400500
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),2849987
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-Federal,16453649
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-Federal|Federal-Other,16453649
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,16453649
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State,5070522
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State - Other,4400522
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State - Other|California Children Services,1661921
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State - Other|California Children's Services Admin,2728601
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State - Other|Sudden Infant Death Syndrome,10000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax,660000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State-Health & Welfare Sales Tax|Health/Welfare Sales Tax Allocation,660000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees,10000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Intergovernmental Revenues-State|State-Health & Welfare Veh License Fees|Motor Veh Lic Fee-Realignment Fund,10000
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Transfer Adjustments-Sources,-3500487
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-3500487
Community Health|Public Health|Comm Hlth - Prev - Maternal & Child Hlth|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-3500487
Community Health|Public Health|Comm Hlth - Prevention - Aids,15017165
Community Health|Public Health|Comm Hlth - Prevention - Aids|Fines, Forfeitures & Penalties,50
Community Health|Public Health|Comm Hlth - Prevention - Aids|Fines, Forfeitures & Penalties|Court Fines-Non Traffic,50
Community Health|Public Health|Comm Hlth - Prevention - Aids|Fines, Forfeitures & Penalties|Court Fines-Non Traffic|Court Fines,50
Community Health|Public Health|Comm Hlth - Prevention - Aids|Intergovernmental Revenues-Federal,13469592
Community Health|Public Health|Comm Hlth - Prevention - Aids|Intergovernmental Revenues-Federal|Federal-Other,13469592
Community Health|Public Health|Comm Hlth - Prevention - Aids|Intergovernmental Revenues-Federal|Federal-Other|Federal Direct Grant,11200942
Community Health|Public Health|Comm Hlth - Prevention - Aids|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,2268650
Community Health|Public Health|Comm Hlth - Prevention - Aids|Intergovernmental Revenues-State,1229885
Community Health|Public Health|Comm Hlth - Prevention - Aids|Intergovernmental Revenues-State|State - Other,1229885
Community Health|Public Health|Comm Hlth - Prevention - Aids|Intergovernmental Revenues-State|State - Other|Other State Grants & Subventions,1229885
Community Health|Public Health|Comm Hlth - Prevention - Aids|Other Revenues,317638
Community Health|Public Health|Comm Hlth - Prevention - Aids|Other Revenues|Private Grants,317638
Community Health|Public Health|Comm Hlth - Prevention - Aids|Other Revenues|Private Grants|Private Grants,317638
Community Health|Public Health|Comm Hlth - Prevention - Disease Control,10530843
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services,3795159
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Net Patient Revenue,2077330
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Net Patient Revenue|Medical Cannabis Id Card,133000
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Net Patient Revenue|Patient Payments-O/P Gross Charges,1944330
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Outpatient Revenues,1133869
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Outpatient Revenues|Medi-Cal O/P Gross Charges,811019
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Outpatient Revenues|Medi-Cal TCM/MAA,261000
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Outpatient Revenues|Medical Family Planning,60850
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Outpatient Revenues|Medicare O/P Gross Charges,1000
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Public Health Charges,583960
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Public Health Charges|Birth Certificate Fee,121135
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Public Health Charges|Death Certificate Fee,234350
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Public Health Charges|Laboratory Fees,15000
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Public Health Charges|Misc Public Health Revenue,65475
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Public Health Charges|Other Health Fee,130000
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Charges for Services|Public Health Charges|Removal Permit Fee,18000
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Intergovernmental Revenues-Federal,6196579
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Intergovernmental Revenues-Federal|Federal-Other,6196579
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Intergovernmental Revenues-Federal|Federal-Other|Federal Direct Grant,5193888
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,1002691
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Intergovernmental Revenues-State,465580
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Intergovernmental Revenues-State|State - Other,465580
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Intergovernmental Revenues-State|State - Other|Other State Grants & Subventions,465580
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Unappropriated Fund Balance,73525
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Unappropriated Fund Balance|Unappropriated Fund Balance,73525
Community Health|Public Health|Comm Hlth - Prevention - Disease Control|Unappropriated Fund Balance|Unappropriated Fund Balance|Prior Year Designated Reserve,73525
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education,2726021
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Expenditure Recovery,3007622
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Expenditure Recovery|Recovery for Svcs to AAO Funds,2884456
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Child,Youth & Fam (AAO),2884456
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds,123166
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds|Exp Rec Fr Parking & Traffic (Non-AAO),123166
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Fines, Forfeitures & Penalties,1001000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Fines, Forfeitures & Penalties|Court Fines-Non Traffic,1000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Fines, Forfeitures & Penalties|Court Fines-Non Traffic|Court Fines,1000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Fines, Forfeitures & Penalties|Other Forfeitures & Penalties,1000000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Fines, Forfeitures & Penalties|Other Forfeitures & Penalties|Penalties,1000000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Intergovernmental Revenues-Federal,1318085
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Intergovernmental Revenues-Federal|Federal-Other,1318085
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,1318085
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Intergovernmental Revenues-State,206936
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Intergovernmental Revenues-State|State - Other,206936
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Intergovernmental Revenues-State|State - Other|Other State Grants & Subventions,206936
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Licenses, Permits & Franchises,200000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Licenses, Permits & Franchises|Business Health Licenses,200000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Licenses, Permits & Franchises|Business Health Licenses|Deemed Approved Off-Sale Alcohol Use Fee,200000
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Transfer Adjustments-Sources,-3007622
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-3007622
Community Health|Public Health|Comm Hlth - Prevention - Hlth Education|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-3007622
Community Health|Public Health|Emergency Services Agency,1950000
Community Health|Public Health|Emergency Services Agency|Fines, Forfeitures & Penalties,1490000
Community Health|Public Health|Emergency Services Agency|Fines, Forfeitures & Penalties|Traffic Fines,1490000
Community Health|Public Health|Emergency Services Agency|Fines, Forfeitures & Penalties|Traffic Fines|Traffic Fines - Moving,1490000
Community Health|Public Health|Emergency Services Agency|Interest & Investment Income,10000
Community Health|Public Health|Emergency Services Agency|Interest & Investment Income|Interest,10000
Community Health|Public Health|Emergency Services Agency|Interest & Investment Income|Interest|Interest Earned - Pooled Cash,10000
Community Health|Public Health|Emergency Services Agency|Unappropriated Fund Balance,450000
Community Health|Public Health|Emergency Services Agency|Unappropriated Fund Balance|Unappropriated Fund Balance,450000
Community Health|Public Health|Emergency Services Agency|Unappropriated Fund Balance|Unappropriated Fund Balance|Prior Year Designated Reserve,450000
Community Health|Public Health|Environmental Health Services,22007353
Community Health|Public Health|Environmental Health Services|Charges for Services,10394736
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges,9944736
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Cfc & Motor Vehicle A/C Permit,4983
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Complaint Investigations Fees,55527
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Env Hlth Plan Check Fees,903412
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Env Hlth Re-Inspection Fee,103000
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Env Hlth Temporary Events,227378
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Env Hlth Training,127150
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Haz Mat Non-Routine Fees,380000
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Hazard Matl Storage Permit Fee,2917497
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Healthy Housing-Apts Annual Fee,2551549
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Healthy Housing-Hotels Annual Fee,648956
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Laundry,152000
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Medical Waste-Acute Care Hospital,175000
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Misc Public Health Revenue,586232
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Site Mitigation Fees,436334
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Solid Waste Coll Vehicle License Fee,600606
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Health Charges|Solid Waste Facility License Fee,75112
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Safety Service Charges,450000
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Safety Service Charges|Agricultural Inspection Fee,250000
Community Health|Public Health|Environmental Health Services|Charges for Services|Public Safety Service Charges|Other Public Safety Charges,200000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery,1833333
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds,1686447
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr ADM (AAO),25000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Airport (AAO),55000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Animal Care & Control (AAO),3635
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Asian Arts Museum (AAO),2000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Cleanwater (AAO),210000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Conv Facilities Mgmt (AAO),17000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Environment (AAO),15000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Fine Arts Museum (AAO),7500
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Fire Dept (AAO),35000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Hetch Hetchy (AAO),40000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr ISD (AAO),21000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Juvenile Court (AAO),9000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Med Examiner/Coroner (AAO),20000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Parking & Traffic (AAO),16200
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Police Commission (AAO),43000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Public Library (AAO),16000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Public Transportation(AAO),225000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Public Works (AAO),260000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Real Estate (AAO),20000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Rec & Park (AAO),110000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Sheriff (AAO),7500
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr War Memorial (AAO),10000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Water Dept (AAO),518612
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds,146886
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds|Exp Rec Fr Environment (Non-AAO),12000
Community Health|Public Health|Environmental Health Services|Expenditure Recovery|Recovery for Svcs to Non-AAO Fds|Exp Rec Fr Parking & Traffic (Non-AAO),134886
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-Federal,610079
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-Federal|Federal-Other,610079
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-Federal|Federal-Other|Federal Direct Grant,340501
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,269578
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-Other,99821
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-Other|Other - Governmental Agencies,99821
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-Other|Other - Governmental Agencies|City Depts Revenue From Ocii,99821
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-State,1548265
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-State|State - Other,838265
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-State|State - Other|Other State Grants & Subventions,838265
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-State|State-Agriculture,710000
Community Health|Public Health|Environmental Health Services|Intergovernmental Revenues-State|State-Agriculture|Weights and Inspection Fees,710000
Community Health|Public Health|Environmental Health Services|Licenses, Permits & Franchises,9354452
Community Health|Public Health|Environmental Health Services|Licenses, Permits & Franchises|Business Health Licenses,9354452
Community Health|Public Health|Environmental Health Services|Licenses, Permits & Franchises|Business Health Licenses|Env Hlth Application Fee,861285
Community Health|Public Health|Environmental Health Services|Licenses, Permits & Franchises|Business Health Licenses|Env Hlth License Fee,1300694
Community Health|Public Health|Environmental Health Services|Licenses, Permits & Franchises|Business Health Licenses|Food Prep/Svc Establishments,6073323
Community Health|Public Health|Environmental Health Services|Licenses, Permits & Franchises|Business Health Licenses|Food Product/Market Establishments,1119150
Community Health|Public Health|Environmental Health Services|Transfer Adjustments-Sources,-1833333
Community Health|Public Health|Environmental Health Services|Transfer Adjustments-Sources|Transfer Adjustments-Sources,-1833333
Community Health|Public Health|Environmental Health Services|Transfer Adjustments-Sources|Transfer Adjustments-Sources|Transfer Adjustments-Sources (Citywide),-1833333
Community Health|Public Health|Forensics - Ambulatory Care,678975
Community Health|Public Health|Forensics - Ambulatory Care|Charges for Services,25000
Community Health|Public Health|Forensics - Ambulatory Care|Charges for Services|Correction Service Charges,25000
Community Health|Public Health|Forensics - Ambulatory Care|Charges for Services|Correction Service Charges|Board Prisoners Other Counties,25000
Community Health|Public Health|Forensics - Ambulatory Care|Other Revenues,653975
Community Health|Public Health|Forensics - Ambulatory Care|Other Revenues|CHN-Other Operating Revenue,653975
Community Health|Public Health|Forensics - Ambulatory Care|Other Revenues|CHN-Other Operating Revenue|Other Operating Revenue(From Within DPH),653975
Community Health|Public Health|General Fund,365698597
Community Health|Public Health|General Fund|General Fund Support,365698597
Community Health|Public Health|General Fund|General Fund Support|General Fund Support,365698597
Community Health|Public Health|General Fund|General Fund Support|General Fund Support|General Fund Support,365698597
Community Health|Public Health|Health At Home,2271272
Community Health|Public Health|Health At Home|Charges for Services,2000269
Community Health|Public Health|Health At Home|Charges for Services|Net Patient Revenue,388450
Community Health|Public Health|Health At Home|Charges for Services|Net Patient Revenue|Cap. Fees/Health Plan Settlements,386462
Community Health|Public Health|Health At Home|Charges for Services|Net Patient Revenue|Other Patient Net Revenue,1988
Community Health|Public Health|Health At Home|Charges for Services|Outpatient Revenues,1611819
Community Health|Public Health|Health At Home|Charges for Services|Outpatient Revenues|Medi-Cal Home Health,114372
Community Health|Public Health|Health At Home|Charges for Services|Outpatient Revenues|Medicare Home Health,1492447
Community Health|Public Health|Health At Home|Charges for Services|Outpatient Revenues|Medicare Managed Care O/P Revenue,5000
Community Health|Public Health|Health At Home|Other Revenues,271003
Community Health|Public Health|Health At Home|Other Revenues|CHN-Other Operating Revenue,271003
Community Health|Public Health|Health At Home|Other Revenues|CHN-Other Operating Revenue|Other Operating Revenue(From Within DPH),271003
Community Health|Public Health|Hiv Health Services,19858654
Community Health|Public Health|Hiv Health Services|Expenditure Recovery,454782
Community Health|Public Health|Hiv Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds,454782
Community Health|Public Health|Hiv Health Services|Expenditure Recovery|Recovery for Svcs to AAO Funds|Exp Rec Fr Human Services (AAO),454782
Community Health|Public Health|Hiv Health Services|Intergovernmental Revenues-Federal,19625858
Community Health|Public Health|Hiv Health Services|Intergovernmental Revenues-Federal|Federal-Other,19625858
Community Health|Public Health|Hiv Health Services|Intergovernmental Revenues-Federal|Federal-Other|Federal Direct Grant,16786053
Community Health|Public Health|Hiv Health Services|Intergovernmental Revenues-Federal|Federal-Other|Federal Grants Pass-Through State/Other,2839805
Community Health|Public Health|Hiv Health Services|Intergovernmental Revenues-State,232796
