budget_year,department,account_type,fund_code,account_category,amount
FY18-19,Debt Service,Expense,5A,Debt Service,433023815
FY18-19,Debt Service,Expense,5C,Debt Service,78614590
FY18-19,Debt Service,Expense,5H,Debt Service,2849463
FY18-19,Debt Service,Expense,5L,Debt Service,13046397
FY18-19,Debt Service,Expense,5M,Debt Service,24784287
FY18-19,Debt Service,Expense,5P,Debt Service,7718362
FY18-19,Debt Service,Expense,5Q,Debt Service,2042728
FY18-19,Debt Service,Expense,5T,Debt Service,6078636
FY18-19,Debt Service,Expense,5W,Debt Service,263565694
FY18-19,Debt Service,Expense,7S,Debt Service,102401800
FY18-19,Expenditure Recovery,Revenue,1G,Expenditure Recovery,431961763
FY18-19,Expenditure Recovery,Revenue,2S,Expenditure Recovery,193908660
FY18-19,Expenditure Recovery,Revenue,3C,Expenditure Recovery,100000
FY18-19,Expenditure Recovery,Revenue,5C,Expenditure Recovery,7730085
FY18-19,Expenditure Recovery,Revenue,5H,Expenditure Recovery,51060
FY18-19,Expenditure Recovery,Revenue,5L,Expenditure Recovery,229950
FY18-19,Expenditure Recovery,Revenue,5M,Expenditure Recovery,1082600
FY18-19,Expenditure Recovery,Revenue,5N,Expenditure Recovery,1496000
FY18-19,Expenditure Recovery,Revenue,5O,Expenditure Recovery,40000
FY18-19,Expenditure Recovery,Revenue,5P,Expenditure Recovery,4400000
FY18-19,Expenditure Recovery,Revenue,5T,Expenditure Recovery,110118823
FY18-19,Expenditure Recovery,Revenue,5W,Expenditure Recovery,14271263
FY18-19,Expenditure Recovery,Revenue,6I,Expenditure Recovery,143988560
FY18-19,Expenditure Recovery,Revenue,7P,Expenditure Recovery,50000
FY18-19,Facilities Maintenance,Expense,1G,Facilities Maintenance,8754809
FY18-19,Facilities Maintenance,Expense,2S,Facilities Maintenance,815383
FY18-19,Facilities Maintenance,Expense,5A,Facilities Maintenance,15000000
FY18-19,Facilities Maintenance,Expense,5C,Facilities Maintenance,6282000
FY18-19,Facilities Maintenance,Expense,5H,Facilities Maintenance,1404199
FY18-19,Facilities Maintenance,Expense,5L,Facilities Maintenance,1213191
FY18-19,Facilities Maintenance,Expense,5T,Facilities Maintenance,11835000
FY18-19,Facilities Maintenance,Expense,5W,Facilities Maintenance,18414000
FY18-19,Fines, Forfeitures & Penalties,Revenue,1G,Fines, Forfeitures & Penalties,4579075
FY18-19,Fines, Forfeitures & Penalties,Revenue,2S,Fines, Forfeitures & Penalties,8941562
FY18-19,Fines, Forfeitures & Penalties,Revenue,4D,Fines, Forfeitures & Penalties,15311902
FY18-19,Fines, Forfeitures & Penalties,Revenue,5A,Fines, Forfeitures & Penalties,1207000
FY18-19,Fines, Forfeitures & Penalties,Revenue,5M,Fines, Forfeitures & Penalties,2222000
FY18-19,Fines, Forfeitures & Penalties,Revenue,5N,Fines, Forfeitures & Penalties,89041020
FY18-19,Fines, Forfeitures & Penalties,Revenue,5O,Fines, Forfeitures & Penalties,75750
FY18-19,Fines, Forfeitures & Penalties,Revenue,5P,Fines, Forfeitures & Penalties,3797000
FY18-19,General Fund Support,Revenue,2S,General Fund Support,180759712
FY18-19,General Fund Support,Revenue,5H,General Fund Support,214661749
FY18-19,General Fund Support,Revenue,5L,General Fund Support,73046141
FY18-19,General Fund Support,Revenue,5M,General Fund Support,228070000
FY18-19,General Fund Support,Revenue,5N,General Fund Support,85520000
FY18-19,ISF Charges for Services,Revenue,5H,ISF Charges for Services,2740203
FY18-19,Interest & Investment Income,Revenue,1G,Interest & Investment Income,18180000
FY18-19,Interest & Investment Income,Revenue,2S,Interest & Investment Income,1629767
FY18-19,Interest & Investment Income,Revenue,5A,Interest & Investment Income,11099000
FY18-19,Interest & Investment Income,Revenue,5C,Interest & Investment Income,1480242
FY18-19,Interest & Investment Income,Revenue,5M,Interest & Investment Income,1147884
FY18-19,Interest & Investment Income,Revenue,5N,Interest & Investment Income,655934
FY18-19,Interest & Investment Income,Revenue,5O,Interest & Investment Income,57394
FY18-19,Interest & Investment Income,Revenue,5P,Interest & Investment Income,600000
FY18-19,Interest & Investment Income,Revenue,5T,Interest & Investment Income,1291142
FY18-19,Interest & Investment Income,Revenue,5W,Interest & Investment Income,1841090
FY18-19,Interest & Investment Income,Revenue,5X,Interest & Investment Income,122988
FY18-19,Interest & Investment Income,Revenue,7A,Interest & Investment Income,81000
FY18-19,Interest & Investment Income,Revenue,7E,Interest & Investment Income,35000
FY18-19,Interest & Investment Income,Revenue,7P,Interest & Investment Income,250000
FY18-19,Interest & Investment Income,Revenue,7R,Interest & Investment Income,36000
FY18-19,Intergovernmental Revenues-Federal,Revenue,1G,Intergovernmental Revenues-Federal,263958576
FY18-19,Intergovernmental Revenues-Federal,Revenue,2S,Intergovernmental Revenues-Federal,170208661
FY18-19,Intergovernmental Revenues-Federal,Revenue,3C,Intergovernmental Revenues-Federal,55000000
FY18-19,Intergovernmental Revenues-Federal,Revenue,5A,Intergovernmental Revenues-Federal,21510000
FY18-19,Intergovernmental Revenues-Federal,Revenue,5H,Intergovernmental Revenues-Federal,1062330
FY18-19,Intergovernmental Revenues-Federal,Revenue,5M,Intergovernmental Revenues-Federal,3800000
FY18-19,Intergovernmental Revenues-Other,Revenue,1G,Intergovernmental Revenues-Other,3293393
FY18-19,Intergovernmental Revenues-Other,Revenue,2S,Intergovernmental Revenues-Other,2476758
FY18-19,Intergovernmental Revenues-Other,Revenue,5M,Intergovernmental Revenues-Other,92717051
FY18-19,Intergovernmental Revenues-Other,Revenue,6I,Intergovernmental Revenues-Other,42594
FY18-19,Intergovernmental Revenues-State,Revenue,1G,Intergovernmental Revenues-State,751914790
FY18-19,Intergovernmental Revenues-State,Revenue,2S,Intergovernmental Revenues-State,108162606
FY18-19,Intergovernmental Revenues-State,Revenue,4D,Intergovernmental Revenues-State,800000
FY18-19,Intergovernmental Revenues-State,Revenue,5A,Intergovernmental Revenues-State,20000
FY18-19,Intergovernmental Revenues-State,Revenue,5H,Intergovernmental Revenues-State,52368312
FY18-19,Intergovernmental Revenues-State,Revenue,5L,Intergovernmental Revenues-State,386290
FY18-19,Intergovernmental Revenues-State,Revenue,5M,Intergovernmental Revenues-State,48740000
FY18-19,Intergovernmental Revenues-State,Revenue,7A,Intergovernmental Revenues-State,92105500
FY18-19,Intergovernmental Revenues-State,Revenue,7S,Intergovernmental Revenues-State,944084
FY18-19,Intrafund Transfers In,Revenue,1G,Intrafund Transfers In,570331129
FY18-19,Intrafund Transfers In,Revenue,2S,Intrafund Transfers In,35906068
FY18-19,Intrafund Transfers In,Revenue,5A,Intrafund Transfers In,63882299
FY18-19,Intrafund Transfers In,Revenue,5C,Intrafund Transfers In,50230000
FY18-19,Intrafund Transfers In,Revenue,5H,Intrafund Transfers In,13808159
FY18-19,Intrafund Transfers In,Revenue,5L,Intrafund Transfers In,2874465
FY18-19,Intrafund Transfers In,Revenue,5M,Intrafund Transfers In,60130429
FY18-19,Intrafund Transfers In,Revenue,5N,Intrafund Transfers In,1000000
FY18-19,Intrafund Transfers In,Revenue,5P,Intrafund Transfers In,25415572
FY18-19,Intrafund Transfers In,Revenue,5Q,Intrafund Transfers In,9686020
FY18-19,Intrafund Transfers In,Revenue,5T,Intrafund Transfers In,45475000
FY18-19,Intrafund Transfers In,Revenue,5W,Intrafund Transfers In,48469596
FY18-19,Intrafund Transfers Out,Expense,1G,Intrafund Transfers Out,570331129
FY18-19,Intrafund Transfers Out,Expense,2S,Intrafund Transfers Out,35906068
FY18-19,Intrafund Transfers Out,Expense,5A,Intrafund Transfers Out,63882299
FY18-19,Intrafund Transfers Out,Expense,5C,Intrafund Transfers Out,50230000
FY18-19,Intrafund Transfers Out,Expense,5H,Intrafund Transfers Out,13808159
FY18-19,Intrafund Transfers Out,Expense,5L,Intrafund Transfers Out,2874465
FY18-19,Intrafund Transfers Out,Expense,5M,Intrafund Transfers Out,60130429
FY18-19,Intrafund Transfers Out,Expense,5N,Intrafund Transfers Out,1000000
FY18-19,Intrafund Transfers Out,Expense,5P,Intrafund Transfers Out,25415572
FY18-19,Intrafund Transfers Out,Expense,5Q,Intrafund Transfers Out,9686020
FY18-19,Intrafund Transfers Out,Expense,5T,Intrafund Transfers Out,45475000
FY18-19,Intrafund Transfers Out,Expense,5W,Intrafund Transfers Out,48469596
FY18-19,Licenses, Permits & Franchises,Revenue,1G,Licenses, Permits & Franchises,29963683
FY18-19,Licenses, Permits & Franchises,Revenue,2S,Licenses, Permits & Franchises,11265175
FY18-19,Licenses, Permits & Franchises,Revenue,5N,Licenses, Permits & Franchises,12731000
FY18-19,Licenses, Permits & Franchises,Revenue,5O,Licenses, Permits & Franchises,8939889
FY18-19,Mandatory Fringe Benefits,Expense,1G,Mandatory Fringe Benefits,679078064
FY18-19,Mandatory Fringe Benefits,Expense,2S,Mandatory Fringe Benefits,131360596
FY18-19,Mandatory Fringe Benefits,Expense,5A,Mandatory Fringe Benefits,105761215
FY18-19,Mandatory Fringe Benefits,Expense,5C,Mandatory Fringe Benefits,21949141
FY18-19,Mandatory Fringe Benefits,Expense,5H,Mandatory Fringe Benefits,153382405
FY18-19,Mandatory Fringe Benefits,Expense,5L,Mandatory Fringe Benefits,61269811
FY18-19,Mandatory Fringe Benefits,Expense,5M,Mandatory Fringe Benefits,210740887
FY18-19,Mandatory Fringe Benefits,Expense,5N,Mandatory Fringe Benefits,26977089
FY18-19,Mandatory Fringe Benefits,Expense,5O,Mandatory Fringe Benefits,807067
FY18-19,Mandatory Fringe Benefits,Expense,5P,Mandatory Fringe Benefits,13818237
FY18-19,Mandatory Fringe Benefits,Expense,5Q,Mandatory Fringe Benefits,544272
FY18-19,Mandatory Fringe Benefits,Expense,5T,Mandatory Fringe Benefits,13437975
FY18-19,Mandatory Fringe Benefits,Expense,5W,Mandatory Fringe Benefits,63170680
FY18-19,Mandatory Fringe Benefits,Expense,5X,Mandatory Fringe Benefits,886241
FY18-19,Mandatory Fringe Benefits,Expense,6I,Mandatory Fringe Benefits,17835081
FY18-19,Mandatory Fringe Benefits,Expense,7A,Mandatory Fringe Benefits,24288354
FY18-19,Mandatory Fringe Benefits,Expense,7E,Mandatory Fringe Benefits,235296
FY18-19,Mandatory Fringe Benefits,Expense,7P,Mandatory Fringe Benefits,5385685
FY18-19,Mandatory Fringe Benefits,Expense,7S,Mandatory Fringe Benefits,3222877
FY18-19,Mandatory Fringe Benefits,Expense,8A,Mandatory Fringe Benefits,594422
FY18-19,Materials & Supplies,Expense,1G,Materials & Supplies,51751933
FY18-19,Materials & Supplies,Expense,2S,Materials & Supplies,31310169
FY18-19,Materials & Supplies,Expense,5A,Materials & Supplies,17961400
FY18-19,Materials & Supplies,Expense,5C,Materials & Supplies,10384063
FY18-19,Materials & Supplies,Expense,5H,Materials & Supplies,77404662
FY18-19,Materials & Supplies,Expense,5L,Materials & Supplies,20802497
FY18-19,Materials & Supplies,Expense,5M,Materials & Supplies,74965988
FY18-19,Materials & Supplies,Expense,5N,Materials & Supplies,5081295
FY18-19,Materials & Supplies,Expense,5O,Materials & Supplies,109344
FY18-19,Materials & Supplies,Expense,5P,Materials & Supplies,1581784
FY18-19,Materials & Supplies,Expense,5Q,Materials & Supplies,12426
FY18-19,Materials & Supplies,Expense,5T,Materials & Supplies,2707781
FY18-19,Materials & Supplies,Expense,5W,Materials & Supplies,15779512
FY18-19,Materials & Supplies,Expense,5X,Materials & Supplies,6729
FY18-19,Materials & Supplies,Expense,6I,Materials & Supplies,14268664
FY18-19,Materials & Supplies,Expense,7E,Materials & Supplies,517500
FY18-19,Materials & Supplies,Expense,7P,Materials & Supplies,250000
FY18-19,Materials & Supplies,Expense,7S,Materials & Supplies,60000
FY18-19,Materials & Supplies,Expense,8A,Materials & Supplies,50000
FY18-19,Non Personnel Services,Expense,1G,Non Personnel Services,762486005
FY18-19,Non Personnel Services,Expense,2S,Non Personnel Services,324237698
FY18-19,Non Personnel Services,Expense,5A,Non Personnel Services,133084124
FY18-19,Non Personnel Services,Expense,5C,Non Personnel Services,17022897
FY18-19,Non Personnel Services,Expense,5H,Non Personnel Services,213320138
FY18-19,Non Personnel Services,Expense,5L,Non Personnel Services,8826998
FY18-19,Non Personnel Services,Expense,5M,Non Personnel Services,136031323
FY18-19,Non Personnel Services,Expense,5N,Non Personnel Services,52409397
FY18-19,Non Personnel Services,Expense,5O,Non Personnel Services,1393275
FY18-19,Non Personnel Services,Expense,5P,Non Personnel Services,13374083
FY18-19,Non Personnel Services,Expense,5Q,Non Personnel Services,27793009
FY18-19,Non Personnel Services,Expense,5T,Non Personnel Services,81844108
FY18-19,Non Personnel Services,Expense,5W,Non Personnel Services,27852958
FY18-19,Non Personnel Services,Expense,5X,Non Personnel Services,29053477
FY18-19,Non Personnel Services,Expense,6I,Non Personnel Services,60649480
FY18-19,Non Personnel Services,Expense,7E,Non Personnel Services,1422153
FY18-19,Non Personnel Services,Expense,7P,Non Personnel Services,3513503
FY18-19,Non Personnel Services,Expense,7R,Non Personnel Services,546010
FY18-19,Non Personnel Services,Expense,7S,Non Personnel Services,109018464
FY18-19,Non Personnel Services,Expense,8A,Non Personnel Services,3909321
FY18-19,Operating Transfers In,Revenue,1G,Operating Transfers In,171122142
FY18-19,Operating Transfers In,Revenue,2S,Operating Transfers In,175758749
FY18-19,Operating Transfers In,Revenue,3C,Operating Transfers In,5100000
FY18-19,Operating Transfers In,Revenue,4D,Operating Transfers In,4899934
FY18-19,Operating Transfers In,Revenue,5L,Operating Transfers In,2495770
FY18-19,Operating Transfers In,Revenue,5M,Operating Transfers In,255292522
FY18-19,Operating Transfers In,Revenue,5N,Operating Transfers In,39967177
FY18-19,Operating Transfers In,Revenue,5T,Operating Transfers In,32600000
FY18-19,Operating Transfers In,Revenue,5W,Operating Transfers In,100000
FY18-19,Operating Transfers In,Revenue,5X,Operating Transfers In,5000000
FY18-19,Operating Transfers In,Revenue,6I,Operating Transfers In,8661654
FY18-19,Operating Transfers Out,Expense,1G,Operating Transfers Out,251401956
FY18-19,Operating Transfers Out,Expense,2S,Operating Transfers Out,5873618
FY18-19,Operating Transfers Out,Expense,5A,Operating Transfers Out,45659463
FY18-19,Operating Transfers Out,Expense,5C,Operating Transfers Out,31713
FY18-19,Operating Transfers Out,Expense,5H,Operating Transfers Out,121309299
FY18-19,Operating Transfers Out,Expense,5L,Operating Transfers Out,6689934
FY18-19,Operating Transfers Out,Expense,5N,Operating Transfers Out,183120030
FY18-19,Operating Transfers Out,Expense,5O,Operating Transfers Out,8622492
FY18-19,Operating Transfers Out,Expense,5P,Operating Transfers Out,1081713
FY18-19,Operating Transfers Out,Expense,5T,Operating Transfers Out,31712
FY18-19,Operating Transfers Out,Expense,5W,Operating Transfers Out,32631712
FY18-19,Operating Transfers Out,Expense,5X,Operating Transfers Out,35282652
FY18-19,Operating Transfers Out,Expense,6I,Operating Transfers Out,8661654
FY18-19,Operating Transfers Out,Expense,7E,Operating Transfers Out,600000
FY18-19,Other Financing Sources,Revenue,1G,Other Financing Sources,110000
FY18-19,Other Financing Sources,Revenue,7S,Other Financing Sources,22000000
FY18-19,Other Local Taxes,Revenue,1G,Other Local Taxes,1112570000
FY18-19,Other Local Taxes,Revenue,7S,Other Local Taxes,4829750
FY18-19,Other Revenues,Revenue,1G,Other Revenues,39959174
FY18-19,Other Revenues,Revenue,2S,Other Revenues,82322066
FY18-19,Other Revenues,Revenue,3C,Other Revenues,6000000
FY18-19,Other Revenues,Revenue,5A,Other Revenues,46464000
FY18-19,Other Revenues,Revenue,5C,Other Revenues,4387039
FY18-19,Other Revenues,Revenue,5H,Other Revenues,11752965
FY18-19,Other Revenues,Revenue,5L,Other Revenues,14567326
FY18-19,Other Revenues,Revenue,5M,Other Revenues,14525681
FY18-19,Other Revenues,Revenue,5N,Other Revenues,2824271
FY18-19,Other Revenues,Revenue,5P,Other Revenues,3457000
FY18-19,Other Revenues,Revenue,5T,Other Revenues,3833383
FY18-19,Other Revenues,Revenue,5W,Other Revenues,33395664
FY18-19,Other Revenues,Revenue,7E,Other Revenues,5993726
FY18-19,Other Revenues,Revenue,7S,Other Revenues,80592379
FY18-19,Other Revenues,Revenue,8A,Other Revenues,861000
FY18-19,Other Support & Care Of Persons,Expense,1G,Other Support & Care Of Persons,50434408
FY18-19,Other Support & Care Of Persons,Expense,2S,Other Support & Care Of Persons,10744304
FY18-19,Other Support & Care Of Persons,Expense,7S,Other Support & Care Of Persons,16175739
FY18-19,Overhead,Expense,1G,Overhead,23727873
FY18-19,Overhead,Expense,5C,Overhead,28705578
FY18-19,Overhead,Expense,5N,Overhead,19859456
FY18-19,Overhead,Expense,5O,Overhead,907688
FY18-19,Overhead,Expense,5P,Overhead,353517
FY18-19,Overhead,Expense,5Q,Overhead,1474826
FY18-19,Overhead,Expense,5T,Overhead,14720863
FY18-19,Overhead,Expense,5X,Overhead,4566881
FY18-19,Overhead,Expense,6I,Overhead,925628
FY18-19,Overhead,Expense,7A,Overhead,2567319
FY18-19,Overhead,Expense,7E,Overhead,175434
FY18-19,Overhead,Expense,7P,Overhead,38137
FY18-19,Overhead,Expense,7S,Overhead,7256654
FY18-19,Programmatic Projects,Expense,1G,Programmatic Projects,69644872
FY18-19,Programmatic Projects,Expense,2S,Programmatic Projects,17489494
FY18-19,Programmatic Projects,Expense,3C,Programmatic Projects,5925000
FY18-19,Programmatic Projects,Expense,5C,Programmatic Projects,1045000
FY18-19,Programmatic Projects,Expense,5H,Programmatic Projects,7966536
FY18-19,Programmatic Projects,Expense,5P,Programmatic Projects,1777064
FY18-19,Programmatic Projects,Expense,5T,Programmatic Projects,955000
FY18-19,Programmatic Projects,Expense,5W,Programmatic Projects,1050000
FY18-19,Programmatic Projects,Expense,6I,Programmatic Projects,3203520
FY18-19,Programmatic Projects,Expense,7S,Programmatic Projects,37211281
FY18-19,Project Carryforward Budgets Only,Expense,1G,Project Carryforward Budgets Only,25000000
FY18-19,Property Taxes,Revenue,1G,Property Taxes,1557000000
FY18-19,Property Taxes,Revenue,2S,Property Taxes,201533000
FY18-19,Property Taxes,Revenue,4D,Property Taxes,279190914
FY18-19,Property Taxes,Revenue,7S,Property Taxes,123303476
FY18-19,Rents & Concessions,Revenue,1G,Rents & Concessions,14088442
FY18-19,Rents & Concessions,Revenue,2S,Rents & Concessions,48062227
FY18-19,Rents & Concessions,Revenue,5A,Rents & Concessions,327152000
FY18-19,Rents & Concessions,Revenue,5C,Rents & Concessions,780933
FY18-19,Rents & Concessions,Revenue,5L,Rents & Concessions,563740
FY18-19,Rents & Concessions,Revenue,5M,Rents & Concessions,1326000
FY18-19,Rents & Concessions,Revenue,5N,Rents & Concessions,64891076
FY18-19,Rents & Concessions,Revenue,5P,Rents & Concessions,81297525
FY18-19,Rents & Concessions,Revenue,5T,Rents & Concessions,476800
FY18-19,Rents & Concessions,Revenue,5W,Rents & Concessions,13110339
FY18-19,Rents & Concessions,Revenue,5X,Rents & Concessions,71028152
FY18-19,Rents & Concessions,Revenue,6I,Rents & Concessions,823142
FY18-19,Rents & Concessions,Revenue,7E,Rents & Concessions,202500
FY18-19,Rents & Concessions,Revenue,7S,Rents & Concessions,13443017
FY18-19,Rents & Concessions,Revenue,8A,Rents & Concessions,11512850
FY18-19,Salaries,Expense,1G,Salaries,1658267335
FY18-19,Salaries,Expense,2S,Salaries,271543851
FY18-19,Salaries,Expense,5A,Salaries,223043211
FY18-19,Salaries,Expense,5C,Salaries,48206730
FY18-19,Salaries,Expense,5H,Salaries,374894322
FY18-19,Salaries,Expense,5L,Salaries,136716902
FY18-19,Salaries,Expense,5M,Salaries,423555039
FY18-19,Salaries,Expense,5N,Salaries,45326174
FY18-19,Salaries,Expense,5O,Salaries,1865565
FY18-19,Salaries,Expense,5P,Salaries,30002118
FY18-19,Salaries,Expense,5Q,Salaries,1651379
FY18-19,Salaries,Expense,5T,Salaries,29842040
FY18-19,Salaries,Expense,5W,Salaries,155208914
FY18-19,Salaries,Expense,5X,Salaries,2603970
FY18-19,Salaries,Expense,6I,Salaries,38962418
FY18-19,Salaries,Expense,7A,Salaries,65330827
FY18-19,Salaries,Expense,7E,Salaries,885443
FY18-19,Salaries,Expense,7P,Salaries,14225189
FY18-19,Salaries,Expense,8A,Salaries,1567521
FY18-19,Services of Other Depts,Expense,1G,Services of Other Depts,335264212
FY18-19,Services of Other Depts,Expense,2S,Services of Other Depts,159269242
FY18-19,Services of Other Depts,Expense,5A,Services of Other Depts,76680644
FY18-19,Services of Other Depts,Expense,5C,Services of Other Depts,34370163
FY18-19,Services of Other Depts,Expense,5H,Services of Other Depts,54618162
FY18-19,Services of Other Depts,Expense,5L,Services of Other Depts,13280528
FY18-19,Services of Other Depts,Expense,5M,Services of Other Depts,60651639
FY18-19,Services of Other Depts,Expense,5N,Services of Other Depts,8385241
FY18-19,Services of Other Depts,Expense,5O,Services of Other Depts,722822
FY18-19,Services of Other Depts,Expense,5P,Services of Other Depts,15707788
FY18-19,Services of Other Depts,Expense,5Q,Services of Other Depts,1182073
FY18-19,Services of Other Depts,Expense,5T,Services of Other Depts,7419678
FY18-19,Services of Other Depts,Expense,5W,Services of Other Depts,48117010
FY18-19,Services of Other Depts,Expense,5X,Services of Other Depts,454190
FY18-19,Services of Other Depts,Expense,6I,Services of Other Depts,8588593
FY18-19,Services of Other Depts,Expense,7P,Services of Other Depts,5497266
FY18-19,Services of Other Depts,Expense,7R,Services of Other Depts,175000
FY18-19,Services of Other Depts,Expense,8A,Services of Other Depts,6230836
FY18-19,Transfer In for Capital Expenditures,Revenue,5M,Transfer In for Capital Expenditures,29320000
FY18-19,Transfer In for Capital Expenditures,Revenue,5N,Transfer In for Capital Expenditures,9770000
FY18-19,Transfer Out for Capital Expenditures,Expense,1G,Transfer Out for Capital Expenditures,39090000
FY18-19,Unappropriated Fund Balance,Revenue,1G,Unappropriated Fund Balance,187181565
FY18-19,Unappropriated Fund Balance,Revenue,2S,Unappropriated Fund Balance,42421126
FY18-19,Unappropriated Fund Balance,Revenue,3C,Unappropriated Fund Balance,15819000
FY18-19,Unappropriated Fund Balance,Revenue,4D,Unappropriated Fund Balance,2982562
FY18-19,Unappropriated Fund Balance,Revenue,5A,Unappropriated Fund Balance,35206448
FY18-19,Unappropriated Fund Balance,Revenue,5H,Unappropriated Fund Balance,1000000
FY18-19,Unappropriated Fund Balance,Revenue,5L,Unappropriated Fund Balance,1219509
FY18-19,Unappropriated Fund Balance,Revenue,5M,Unappropriated Fund Balance,49694789
FY18-19,Unappropriated Fund Balance,Revenue,5N,Unappropriated Fund Balance,22853674
FY18-19,Unappropriated Fund Balance,Revenue,5O,Unappropriated Fund Balance,5165220
FY18-19,Unappropriated Fund Balance,Revenue,5P,Unappropriated Fund Balance,17960494
FY18-19,Unappropriated Fund Balance,Revenue,5T,Unappropriated Fund Balance,5547556
FY18-19,Unappropriated Fund Balance,Revenue,5W,Unappropriated Fund Balance,1451864
FY18-19,Unappropriated Fund Balance,Revenue,6I,Unappropriated Fund Balance,4402501
FY18-19,Unappropriated Fund Balance,Revenue,7E,Unappropriated Fund Balance,262500
FY18-19,Unappropriated Fund Balance,Revenue,7S,Unappropriated Fund Balance,34328410
FY18-19,Unappropriated Revenue Retained,Expense,1G,Unappropriated Revenue Retained,25500000
FY18-19,Unappropriated Revenue Retained,Expense,2S,Unappropriated Revenue Retained,777725
FY18-19,Unappropriated Revenue Retained,Expense,5C,Unappropriated Revenue Retained,45000000
FY18-19,Unappropriated Revenue Retained,Expense,5T,Unappropriated Revenue Retained,33000000
FY18-19,Unappropriated Revenue Retained,Expense,5W,Unappropriated Revenue Retained,27830000
FY18-19,Unappropriated Revenue-Designated,Expense,1G,Unappropriated Revenue-Designated,19640000
FY18-19,Unappropriated Revenue-Designated,Expense,2S,Unappropriated Revenue-Designated,61101
FY18-19,Unappropriated Revenue-Designated,Expense,3C,Unappropriated Revenue-Designated,5100000
FY18-19,Unappropriated Revenue-Designated,Expense,5C,Unappropriated Revenue-Designated,16929049
FY18-19,Unappropriated Revenue-Designated,Expense,5M,Unappropriated Revenue-Designated,345463
FY18-19,Unappropriated Revenue-Designated,Expense,5P,Unappropriated Revenue-Designated,16209181
FY18-19,Unappropriated Revenue-Designated,Expense,5Q,Unappropriated Revenue-Designated,5556799
FY18-19,Unappropriated Revenue-Designated,Expense,5T,Unappropriated Revenue-Designated,616188
FY18-19,Unappropriated Revenue-Designated,Expense,5W,Unappropriated Revenue-Designated,2852008
